canonical_name,funder_category,funder_country,openalex_id,aliases
National Institutes of Health,Government,US,F4320332161,NIH|US NIH|National Institute of Health|National Institutes of Health USA|NIH USA|Institutos Nacionales de la Salud
Wellcome Trust,Philanthropic,UK,F4320311904,Wellcome|The Wellcome Trust|Wellcome Trust UK|WT
Bill & Melinda Gates Foundation,Philanthropic,US,F4320306137,Gates Foundation|BMGF|Bill and Melinda Gates Foundation|Gates|The Bill & Melinda Gates Foundation|The Bill and Melinda Gates Foundation|B&MGF|GF
USAID,Government,US,F4320306115,US Agency for International Development|United States Agency for International Development|USAID USA|U.S. Agency for International Development|Agency for International Development
UK Foreign Commonwealth & Development Office,Government,UK,F4320330760,"FCDO|Foreign Commonwealth and Development Office|Foreign, Commonwealth & Development Office|Foreign, Commonwealth & Development Office, UK Government|UK Government|Ministry of Foreign Affairs of the United Kingdom"
European Commission,Government,Multilateral,F4320320300,EU|European Union|EC|European Research Council|ERC|Horizon 2020|EU Commission|Europeiska kommissionen|____�_____ _�____�__|Comisia European_|Europese Commissie|Euroopa Komisjoni|Eiropas Komisiju|Euroopan komission|Europskoj komisiji|Choimisi�in Eorpaigh|EU-Kommissionen|Evropski komisiji|Comisi�n Europea|Europos Komisijos|Europ�ische Kommission|La Commissione europea|Evropsk� komise|Comiss�o Europeia|Eur�pskej komisii|____________ _______|Eur�pai Bizotts�gr�l|Komisja Europejska|Commissione europea|European Union|Commission europ�enne
Global Fund to Fight AIDS TB and Malaria,Multilateral,Multilateral,F4320307851,"Global Fund|The Global Fund|GFATM|Fonds mondial|The Global Fund to Fight AIDS, Tuberculosis and Malaria|Le Fonds mondial|Fonds mondial de lutte contre le sida, la tuberculose et le paludisme"
Gavi the Vaccine Alliance,Multilateral,Multilateral,F4320306348,Gavi|GAVI|Gavi Alliance|Gavi Vaccine Alliance|Global Alliance for Vaccines and Immunization
World Health Organization,UN Agency,Multilateral,F4320307856,WHO|World Health Organisation
Swiss National Science Foundation,Government,Switzerland,F4320320924,SNSF|Swiss NSF|Schweizerischer Nationalfonds|Fondo Nazionale Svizzero|Fonds National Suisse|Schweizerische Nationalfonds|Fondo Nazionale Svizzero per la Ricerca Scientifica|Fonds National Suisse de la Recherche Scientifique|Swiss National Science Foundation|FNS|SNF|Schweizerischer Nationalfonds
Canadian Institutes of Health Research,Government,Canada,F4320334506,CIHR|Canadian Institutes of Health|Instituts de recherche en sant� du Canada|IRSC
